Datetime,Latitude,Longitude,Message,Number of Records
11/5/2012 12:27:35 AM,40.0583,-74.4057,We want to host a family event to benefit the Hurricane Relief efforts. Anyone willing to donate the space in exchange for tons of exposure?,1
11/5/2012 5:27:31 PM,40.7561,-73.987,We've just updated our blog with some useful resources for Hurricane Sandy relief efforts. Please comment here or... http://t.co/ueKtiyvD,1
11/5/2012 11:50:53 PM,10000,10000,Wetset production is trying to do a drive to help out the ppl involved in hurricane sandy were looking for... http://t.co/shOlqT5f,1
11/3/2012 12:43:46 AM,10000,10000,We should all try to help if we can.....even 10$ will help the victims of Hurricane Sandy #SandyHelp,1
11/5/2012 11:27:27 PM,40.4384,-80.0019,we're taking donations through wednesday at @PanelloBoutique for hurricane sandy relief on the nj coast http://t.co/u1E8F4uv,1
10/31/2012 10:15:46 PM,10000,10000,We're sending positive thoughts to the families affected by Hurricane #Sandy. Want to help out? Here's how: http://t.co/n5dAj3B7,1
10/31/2012 4:54:15 PM,37.0902,-95.7129,"We're donating 5% this week to the Red Cross to help the victims of Hurricane #Sandy, shop now till Sunday at: http://t.co/ZOobHQeI Pls RT.",1
11/4/2012 1:38:48 PM,40.6752,-73.971,WE NEED VOLUNTEERS for Hurricane Sandy relief! Help us help others! ANYone can sign up in Fulton Street Lobby... http://t.co/Ks9i8GC1,1
11/2/2012 3:59:50 AM,41.827,-71.4087,We'll be raising money for @CTRedCross (Hurricane Sandy) at the WSOC champs this weekend - great job by BE's Jen Condaras making it happen,1
11/3/2012 5:54:59 PM,35.5175,-86.5804,We have put our fundraising 4 Diabetic kids on hold until Hurricane Sandy crisis is under control. Only $1 to help http://t.co/P2W286e1  RT,1
11/2/2012 12:19:21 AM,34.0907,-118.37,We encourage you to help Hurricane #Sandy relief efforts #WestHollywood. Info on how to donate: http://t.co/WUzVvr3f #weho,1
11/1/2012 7:00:05 PM,41.4202,-87.343,We encourage everyone to help those affected by the aftermath of Hurricane Sandy. Our friends at the United Way... http://t.co/oLHzZFJN,1
11/2/2012 10:17:38 PM,39.2943,-76.6143,We encourage all of our members and followers to consider donating to Hurricane Sandy Relief Funds! Many of our... http://t.co/ZIDLnlDO,1
11/3/2012 11:01:54 PM,40.7561,-73.987,We'd like to cordially invite you to a charity event for victims of Hurricane Sandy hosted by our close friends... http://t.co/yiAfzVLU,1
11/5/2012 6:48:14 PM,10000,10000,We continue to keep those affected by Hurricane Sandy in our thoughts. The Red Cross is always a great place to donate: http://t.co/XFP6qLEi,1
11/1/2012 11:34:06 PM,35.7915,-78.7811,We Can Help! Hurricane Sandy Relief Info http://t.co/e9C29Nho,1
11/1/2012 1:30:22 PM,23.0396,72.566,"#webnews You Can Donate to Hurricane Sandy Relief Through eBay, PayPal: As the Americans hit hardest... http://t.co/6Nrpufu5 #socialnews",1
11/5/2012 4:49:03 PM,-14.235,-51.9253,We are united in a chain help the victims of Hurricane Sandy! text CONVOY to 50555 to donate $10!!!,1
11/2/2012 1:48:08 PM,-74.1188,40.808,We are collecting food and cleaning supplies for victims of Hurricane Sandy.\\Bring something in to donate and we... http://t.co/wAcK1nVF,1
11/4/2012 6:06:25 PM,40.766,-73.0191,We are collecting donations for victims of hurricane Sandy! Please drop them off at the office. Thank you!,1
11/4/2012 1:23:05 AM,40.6372,-74.2453,"We are collecting donations for hurricane sandy victims. Water, food and winter coats. Ple @ Innovate Stones http://t.co/tSlKHlBx",1
11/1/2012 5:03:36 PM,40.7561,-73.987,"We are collecting clothes, blankets, socks, and water for hurricane Victims of Sandy starting Friday @ 4pm until Sunday night 11pm!!!",1
11/2/2012 4:19:51 PM,10000,10000,"We all need to help those distressed by Hurricane Sandy via Red Cross and Salvation Army donations, and of course prayers.",1
11/3/2012 1:04:18 AM,34.0522,-118.243,"""Way to close out the show! @Springsteen with \""""Land of Hope & Dreams\"""". #HelpSandy Text REDCROSS to 90999 to donate $10 for hurricane relief""",1
11/6/2012 1:50:29 AM,10000,10000,Ways to help Hurricane Sandy victims: \The American Red Cross: http://t.co/bf0nwTF2 or you can text REDCROSS to... http://t.co/liP1vQDM,1
11/1/2012 3:01:58 PM,32.7931,-79.9413,"""Ways to help Hurricane Sandy victims: http://t.co/pbgySdT2, 1-800-SAL-ARMY (725-2769), text \""""STORM\"""" to 80888... http://t.co/JicNSNju""",1
11/2/2012 5:26:33 PM,40.6046,-74.1199,"Watch this live tonight! BRUCE, Jon Bon Jovi and many others will be raising money for the victims of Hurricane... http://t.co/PHXwVp4B",1
11/3/2012 12:11:56 AM,40.0583,-74.4057,Watch the telethon for Hurricane Sandy Relief on NBC now. And donate to relief,1
11/3/2012 12:00:02 AM,34.0522,-118.243,Watch the Hurricane Sandy relief benefit concert on @G4TV now! Help raise money for @RedCross: http://t.co/iThVjaSe #SandyHelp,1
11/2/2012 9:30:55 PM,41.4859,-90.4997,Watch the Hurricane #Sandy relief benefit concert at 7PM on @kwqcnews. All funds raised go toward @RedCross disaster relief #RedCross,1
11/5/2012 5:23:47 PM,40.473,-80.0782,"""Watch \""""Superstorm Sandy: 4 Things People Need Most; Hurricane 2012 Victims In Need of Supplies (cont) http://t.co/C33Lz4cU""",1
11/2/2012 11:55:32 PM,40.7561,-73.987,"""Watch @nbc \""""Hurricane Sandy: Coming Together\"""" benefit for #Sandy victims and Tweet @RedCross for storm relief efforts. http://t.co/ZdYo38wD""",1
11/5/2012 4:38:02 PM,40.274,-76.8849,Watch live at noon on ABC 27 for coverage of the Central Pennsylvania Food Bank's Hurricane Sandy relief efforts!,1
11/3/2012 3:29:59 AM,40.6958,-73.8402,"""Watchin\""""Hurricane Sandy Coming Together\"""" @cnbc - very touching ?Text \""""REDCROSS\"""" to 90999 to donate $10 to help those affected #SandyHelp""",1
11/3/2012 12:23:11 AM,10000,10000,Watching the NBC Hurricane Sandy Relief concert is pretty powerful. Please text REDCROSS to 90999 to donate 10 dollars.,1
11/3/2012 12:32:58 AM,29.6447,-82.3481,Watching the Hurricane Sandy special. Its so sad. People please donate to the Red Cross. I gave 20 bucks but any little bit helps!,1
11/3/2012 12:43:03 AM,10000,10000,"Watching HURRICANE SANDY, COMING TOGETHER. These people are in dire straits. I donated $10 by texting Red Cross to 90999. Please help.",1
11/3/2012 12:11:54 AM,10000,10000,Watching hurricane Sandy: Coming Together.... text Red Cross to 90999 for $10 donation to Red Cross http://t.co/ijJ0dqQ9,1
11/3/2012 3:28:32 AM,10000,10000,"Watching Hurricane Sandy: Coming Together. Every bit helps. Have a heart, text RedCross to 90999 to make a simple $10 donation. #SandyHelp",1
11/3/2012 1:01:48 AM,37.0902,-95.7129,Watched hurricane Sandy coming together telethon. Please join me in donating to help Red Cross relief effort.  #SandyHelp,1
11/7/2012 9:23:03 PM,37.676,-121.897,"""Watch CBS 5 tomorrow (Thursday) at 6am. I'll be manning the phones on the \""""Hurricane Sandy Relief Fund Telethon\""""... http://t.co/fuOsNJH9""",1
11/1/2012 11:41:04 AM,40.958,-74.1618,want to volunteer to help after #Hurricane #Sandy ?  http://t.co/0ApogRDG,1
11/3/2012 9:24:00 PM,10000,10000,Want to know what you can do to help the pets of Hurricane Sandy? Here is a list of resources to get you started. http://t.co/x8rr1kmX,1
10/31/2012 2:28:42 PM,39.2461,-94.4213,Want to help with Hurricane #SANDY? Text CONVOY to 50555 to give $10 to @convoyofhope Disaster Response. It's that easy,1
10/30/2012 8:19:42 PM,33.7545,-84.3897,"Want to help victims of Hurricane Sandy? Txt REDCROSS to 90999 ( $10 donation). Donate, RT this, #redcross #sandy",1
11/7/2012 11:25:48 PM,30.3336,78.0478,Want to help victims of Hurricane Sandy? It's getting cold out there! http://t.co/Ym7RIWHI,1
11/4/2012 9:54:53 PM,41.4776,-71.3356,"Want to help those affected by Hurricane Sandy?  Shop local,  eat local.. Support main st and mom and pop shops",1
10/31/2012 12:35:01 AM,32.7811,-96.7971,Want to help those affected by Hurricane #Sandy? Here's one place to start: http://t.co/yZTYoOL7,1
11/2/2012 6:45:18 PM,42.3302,-83.0459,Want to help the victims of Hurricane Sandy? You can make a donation to the Red Cross. #HurricaneSandy Details here: http://t.co/KRJUVUQw,1
11/2/2012 5:44:54 PM,36.7783,-119.418,"""Want to help the victims of Hurricane Sandy as well as get your Jane Austen fix on?  Buy \""""Yours Affectionately,... http://t.co/WWhXWEfF""",1
10/31/2012 9:45:17 PM,10000,10000,Want to help the recovery effort from Hurricane Sandy?\Text RESPONSE to 80888 to donate $10 to UMCOR Relief.... http://t.co/0OSrpeLy,1
